Zone,Reef,Program,CompositionScore,CoralCoverScore,CoverChangeScore,JuvScore,MaScore,IndexScore,CompositionGrade,CoralCoverGrade,CoverChangeGrade,JuvGrade,MaGrade,IndexGrade
Cleveland Bay,Geoffrey Bay,MMP,25,30,35,49,0,28,D,D,D,C,E,D
Cleveland Bay,Cleveland Bay,MMP,25,30,35,49,0,28,D,D,D,C,E,D
Halifax Bay,Palms East,MMP,100,44,21,13,98,55,A,C,D,E,A,C
Halifax Bay,Palms West,MMP,0,35,53,34,100,44,E,D,C,D,A,C
Halifax Bay,Pandora,MMP,50,25,45,15,77,42,C,D,C,E,B,C
Halifax Bay,Havannah,MMP,75,49,31,23,18,39,B,C,D,D,E,D
Halifax Bay,Pandora North,LTMP,0,83,50,45,25,40,E,A,C,C,D,D
Halifax Bay,Havannah North,LTMP,50,29,33,74,10,39,C,D,D,B,E,D
Halifax Bay,Halifax Bay,MMP LTMP,46,44,39,34,55,44,C,C,D,D,C,C
